IDn,order,baseline,firstTime,secondTime
118,2,NaN,15.09,15
118,3,NaN,17.82,25.66
118,4,NaN,15,27.08
119,0,17.67,NaN,NaN
119,1,NaN,16.89,16.39
119,2,NaN,16.14,16.35
119,3,NaN,15.51,16.36
119,4,NaN,16.29,15.47
120,0,15,NaN,NaN
120,1,NaN,15.42,15
120,2,NaN,25.69,18.34
120,3,NaN,24.59,20.8
120,4,NaN,15,20.55
121,0,18.44,NaN,NaN
121,1,NaN,20.84,20.36
121,2,NaN,20.22,19.85
121,3,NaN,19.8,19.8
121,4,NaN,20.45,20.47
122,0,23.77,NaN,NaN
122,1,NaN,23.72,24.27
122,2,NaN,23.72,24.12
122,3,NaN,23.85,24.26
122,4,NaN,24.19,24.34
123,0,16.99,NaN,NaN
123,1,NaN,17.9,18.29
123,2,NaN,15,19.01
123,3,NaN,15,15.16
123,4,NaN,15,15
124,0,20.42,NaN,NaN
124,1,NaN,21.76,21.42
124,2,NaN,21.58,21.1
124,3,NaN,21.45,20.59
124,4,NaN,21.21,20.66
125,0,15.41,NaN,NaN
125,1,NaN,27.37,25.87
125,2,NaN,24.99,23.6
125,3,NaN,24.83,22.47
125,4,NaN,23,24.28
126,0,15,NaN,NaN
126,1,NaN,15,15
126,2,NaN,26.34,25.49
126,3,NaN,25.61,24.85
126,4,NaN,25.82,25.83
127,0,26.28,NaN,NaN
127,1,NaN,26.94,26.59
127,2,NaN,26.55,26.43
127,3,NaN,26,27.06
127,4,NaN,26.32,26.68
128,0,17.56,NaN,NaN
128,1,NaN,24.33,23.14
128,2,NaN,24.07,23.86
128,3,NaN,23.06,23.46
128,4,NaN,23.24,24.34
129,0,20.63,NaN,NaN
129,1,NaN,20.42,20.49
129,2,NaN,20.06,20.46
129,3,NaN,20.55,20.13
129,4,NaN,20.06,18.71
130,0,20.54,NaN,NaN
130,1,NaN,20.94,20.48
130,2,NaN,20.46,20.4
130,3,NaN,21.09,21.01
130,4,NaN,20.8,20.35
131,0,25.77,NaN,NaN
131,1,NaN,25.88,24.84
131,2,NaN,24.12,23.51
131,3,NaN,24.42,23.53
131,4,NaN,24.24,24.91
132,0,23.77,NaN,NaN
132,1,NaN,25.64,25.18
132,2,NaN,24.89,24.27
132,3,NaN,25.63,24.81
132,4,NaN,24.48,23.85
133,0,19.38,NaN,NaN
133,1,NaN,20.98,21.65
133,2,NaN,21.14,20.39
133,3,NaN,20.02,20.74
133,4,NaN,20.49,19.88
134,0,18.55,NaN,NaN
134,2,NaN,20.2,19.8
134,3,NaN,18.51,18.98
134,4,NaN,19.82,18.03
135,0,18.3,NaN,NaN
135,1,NaN,16.6,19.08
135,2,NaN,15.57,15.54
135,3,NaN,15,18.14
135,4,NaN,16.99,15
136,0,23.49,NaN,NaN
136,1,NaN,22.05,25.66
136,2,NaN,24.46,20.33
136,3,NaN,26.02,22.2
136,4,NaN,18.44,15.48
137,0,16.28,NaN,NaN
137,1,NaN,15,27.55
137,2,NaN,15,15.41
137,3,NaN,16.47,15.54
138,0,37.93,NaN,NaN
138,1,NaN,38.35,18.61
138,2,NaN,18.44,37.05
138,3,NaN,37.31,18.64
138,4,NaN,37.26,17.98
139,0,28.94,NaN,NaN
139,1,NaN,15,27.93
139,2,NaN,28.83,15
139,3,NaN,26.34,15
139,4,NaN,25.05,15
140,0,23.15,NaN,NaN
140,1,NaN,24.44,23.14
140,2,NaN,22.46,22.84
140,3,NaN,21.94,21.87
140,4,NaN,20.98,23.67
141,0,22.21,NaN,NaN
141,1,NaN,22.36,21.51
141,2,NaN,21.94,21.41
141,3,NaN,21.3,20.17
141,4,NaN,20.67,20.67
142,0,25.5,NaN,NaN
142,1,NaN,24.63,25.42
142,2,NaN,25.78,23.72
142,4,NaN,15,24.25
143,0,15,NaN,NaN
143,1,NaN,28.51,27.64
143,2,NaN,15,26.14
143,3,NaN,25.54,24.76
143,4,NaN,25.55,26.28
144,0,24.91,NaN,NaN
144,1,NaN,25.64,25.51
144,2,NaN,26.03,25.49
144,3,NaN,26.06,25.72
144,4,NaN,26.03,25.83
145,1,NaN,26.95,25.75
145,2,NaN,25.43,24.23
145,3,NaN,24.6,24.99
145,4,NaN,24.21,24.35
146,0,24.82,NaN,NaN
146,1,NaN,15.15,18.27
146,2,NaN,15.49,15.12
146,3,NaN,15.05,15.57
146,4,NaN,18.22,15
147,0,21.56,NaN,NaN
147,1,NaN,22.16,22.54
147,2,NaN,20.85,21.96
147,3,NaN,19.72,22.99
147,4,NaN,21.6,22.37
148,0,25.5,NaN,NaN
148,1,NaN,25.21,25.15
148,2,NaN,26.26,25.72
148,3,NaN,25.71,24.96
148,4,NaN,24.91,24.81
149,0,21.76,NaN,NaN
149,1,NaN,20.64,20.72
149,2,NaN,18.3,21.72
149,3,NaN,19.05,20.99
149,4,NaN,20.51,21.05
150,0,25.71,NaN,NaN
150,1,NaN,21.87,15
150,3,NaN,23.38,21.8
150,4,NaN,22.01,23.68
151,0,27.29,NaN,NaN
151,1,NaN,26.88,23.49
151,2,NaN,26.46,24.3
151,3,NaN,27.1,27.35
151,4,NaN,15.08,27.31
152,0,22.23,NaN,NaN
152,1,NaN,16.5,16.55
152,2,NaN,18.01,17.05
152,3,NaN,18.24,17.94
152,4,NaN,16.83,16.76
153,0,23.49,NaN,NaN
153,1,NaN,21.58,21.66
153,2,NaN,23.13,21.73
153,3,NaN,20.73,20.52
153,4,NaN,20.26,27.68
154,0,22.74,NaN,NaN
154,1,NaN,15,25.93
154,2,NaN,23.3,22.82
154,3,NaN,24.44,22.71
154,4,NaN,23.15,22.37
155,0,26,NaN,NaN
155,1,NaN,27.44,26.16
155,2,NaN,25,25.14
155,3,NaN,25.09,23.55
155,4,NaN,25.6,23.5
