106,0,24.78,24.36,25.18,0.90235
106,1,25.03,24.86,25.2,9.5333
106,2,24.9,25.58,24.73,9.0103
106,3,23.8,23.69,23.9,7.2398
106,4,26.04,25.97,26.09,9.0397
107,0,26.94,26.63,15,10.614
107,1,27.69,28.21,27.47,10.501
107,2,26.41,15,24.64,9.5376
107,3,27.3,15,27.03,10.591
107,4,28.06,15,27.69,10.434
108,0,24.22,24.09,24.55,1.4128
108,1,25.61,25.73,25.1,3.6848
108,2,24.4,24.07,24.72,2.432
108,3,24.12,23.84,24.42,2.957
108,4,24.6,24.45,24.79,5.0063
109,0,19.85,23.03,18.99,8.0544
109,1,22.2,22.76,21.68,6.3749
109,2,22.35,22.92,22.15,7.8421
109,3,21.8,21.44,24.32,7.4057
109,4,21.66,21.62,21.72,6.1507
110,0,26.35,25.86,15.42,9.6287
110,1,27.68,15,27.61,9.8725
110,2,25.13,25.9,24.72,7.2986
110,3,25.11,24.89,25.53,9.589
110,4,26.12,26.15,26.05,10.123
111,0,23.37,23.19,23.67,9.979
111,1,24.52,24.5,24.55,6.9294
111,2,24.76,24.68,24.87,6.3859
111,3,24.79,24.89,24.69,7.4767
111,4,24.4,24.77,24.07,7.1787
112,0,21.76,19.31,23.82,8.9282
112,1,16.9,16.45,22.47,7.8445
112,2,20.17,20.24,20.12,5.0156
112,3,20.23,20.43,19.67,5.5947
112,4,20.59,20.88,20.33,5.5456
113,0,21.9,24.06,21.39,8.2243
113,1,23.63,23.2,24.02,8.9536
113,2,25.65,25.16,25.78,8.0308
113,3,25.22,25.45,25.15,8.3581
113,4,23.74,23.6,23.88,8.1573
114,0,15.81,21.52,15.46,7.5024
114,1,27.19,26.86,15,10.608
114,2,28.11,27.65,28.33,9.2808
114,3,26.71,26.44,27.01,7.0813
114,4,26.92,26.38,27.45,7.6473
115,0,22.87,22.04,15.47,7.9933
115,1,15.62,18.37,15.72,7.2049
115,2,26.15,16.4,25.84,9.4225
115,3,25.86,27.42,25.69,9.2925
115,4,27.25,27.71,26.43,7.712
116,0,23.1,22.1,23.94,9.1195
116,1,23.17,21.93,23.35,9.9272
116,2,22.66,23.22,22.12,1.3368
116,3,23.08,23,23.14,8.5022
116,4,23.4,23.71,23.14,4.1085
117,0,28.21,27.72,15,10.569
117,1,26.97,27.44,26.36,7.9288
117,2,26.27,26.09,26.45,8.3345
117,3,24.51,27.11,24.18,7.9729
117,4,24.87,24.62,25.09,7.6408
118,0,27.09,27.53,25.71,5.957
118,1,15,15.28,15,8.664
118,2,15,15.09,15,8.9203
118,3,24.92,17.82,25.66,10.709
118,4,15,15,27.08,8.8342
119,0,17.67,16.81,19.91,6.9302
